favorite_Score,favorite_OffensiveYards,favorite_OffensiveYardsPerPlay,favorite_RushingYards,favorite_RushingYardsPerAttempt,favorite_PassingYards,favorite_PassingYardsPerAttempt,favorite_PassingInterceptionPercentage,favorite_TimesSackedPercentage,favorite_OpponentScore,favorite_OpponentOffensiveYards,favorite_OpponentOffensiveYardsPerPlay,favorite_OpponentRushingYards,favorite_OpponentRushingYardsPerAttempt,favorite_OpponentPassingYards,favorite_OpponentPassingYardsPerAttempt,favorite_OpponentPassingInterceptionPercentage,favorite_OpponentTimesSackedPercentage,favorite_PointDifferential,favorite_TurnoverDifferential,favorite_PenaltyYardDifferential,favorite_TimeOfPossession,underdog_Score,underdog_OffensiveYards,underdog_OffensiveYardsPerPlay,underdog_RushingYards,underdog_RushingYardsPerAttempt,underdog_PassingYards,underdog_PassingYardsPerAttempt,underdog_PassingInterceptionPercentage,underdog_TimesSackedPercentage,underdog_OpponentScore,underdog_OpponentOffensiveYards,underdog_OpponentOffensiveYardsPerPlay,underdog_OpponentRushingYards,underdog_OpponentRushingYardsPerAttempt,underdog_OpponentPassingYards,underdog_OpponentPassingYardsPerAttempt,underdog_OpponentPassingInterceptionPercentage,underdog_OpponentTimesSackedPercentage,underdog_PointDifferential,underdog_TurnoverDifferential,underdog_PenaltyYardDifferential,underdog_TimeOfPossession,did_cover
14,20,16,2,1,31,30,13,16,14,16,9,11,7,24,10,29,7,13,17,8,25,23,26,21,21,8,22,23,24,18,32,27,18,24,13,26,20,5,10,28,22,25,30,True
1,1,10,7,14,4,7,1,5,9,25,23,9,6,29,28,5,20,1,1,10,8,2,4,5,16,23,5,1,5,1,4,2,1,3,2,3,2,11,2,2,17,6,11,True
3,2,1,25,12,1,6,18,3,31,32,32,32,32,31,32,15,29,15,14,20,24,20,31,29,27,30,24,23,18,29,16,9,9,6,5,18,12,15,13,16,14,14,5,True
6,14,4,14,7,12,11,18,2,12,31,30,25,28,28,29,3,22,8,4,2,28,24,25,26,24,21,19,26,27,13,19,23,14,19,13,25,12,13,18,24,12,13,31,True
22,21,21,26,28,14,16,10,14,6,1,1,2,3,1,2,27,8,14,24,18,6,29,15,18,13,8,13,26,10,22,29,15,18,23,13,9,24,29,22,30,31,5,16,False
11,11,3,4,3,23,3,3,30,2,3,3,4,3,4,1,15,13,4,8,31,4,21,19,12,6,4,25,20,28,11,26,22,22,31,30,10,12,20,13,25,27,29,23,True
7,8,5,29,28,6,7,7,7,5,24,26,21,29,23,20,4,27,5,5,4,9,4,5,1,1,2,20,1,3,21,22,28,26,5,13,30,22,7,28,12,3,28,12,True
8,7,14,8,14,11,13,7,9,9,7,6,7,7,16,9,14,6,8,7,15,1,28,30,31,12,23,30,28,31,31,20,8,6,26,19,2,6,20,24,26,29,9,18,False
22,21,21,26,28,14,16,10,14,6,1,1,2,3,1,2,27,8,14,24,18,6,23,26,21,21,8,22,23,24,18,32,27,18,24,13,26,20,5,10,28,22,25,30,False
31,32,32,32,32,28,32,30,31,17,12,9,28,19,5,12,1,5,27,17,17,27,21,19,12,6,4,25,20,28,11,26,22,22,31,30,10,12,20,13,25,27,29,23,False
7,8,5,29,28,6,7,7,7,5,24,26,21,29,23,20,4,27,5,5,4,9,26,18,18,28,23,8,19,13,6,28,18,23,18,19,20,24,24,30,29,23,16,17,False
10,16,16,11,12,15,14,6,17,12,17,9,20,7,17,16,19,16,11,8,30,26,15,6,10,31,30,3,10,21,10,24,19,25,22,23,19,24,32,16,19,27,24,13,False
12,22,21,18,18,17,16,24,24,8,6,4,12,11,7,6,15,3,10,11,21,18,24,25,26,24,21,19,26,27,13,19,23,14,19,13,25,12,13,18,24,12,13,31,False
8,7,14,8,14,11,13,7,9,9,7,6,7,7,16,9,14,6,8,7,15,1,5,13,14,20,22,9,7,1,28,11,11,9,17,23,11,6,8,4,7,10,7,18,False
27,27,25,17,18,26,22,17,19,7,21,14,13,7,27,16,28,10,20,24,3,29,25,23,18,19,14,18,20,13,12,14,14,14,15,19,15,16,10,1,22,17,32,15,False
28,30,31,12,23,30,28,31,31,20,8,6,26,19,2,6,20,24,26,29,9,18,18,10,21,22,23,7,16,21,14,21,26,30,29,31,21,22,20,25,21,26,1,10,True
29,15,18,13,8,13,26,10,22,29,15,18,23,13,9,24,29,22,30,31,5,16,17,3,12,23,18,2,14,7,4,27,13,18,16,23,14,16,25,20,23,30,27,7,False
11,11,3,4,3,23,3,3,30,2,3,3,4,3,4,1,15,13,4,8,31,4,6,14,4,14,7,12,11,18,2,12,31,30,25,28,28,29,3,22,8,4,2,28,False
1,1,10,7,14,4,7,1,5,9,25,23,9,6,29,28,5,20,1,1,10,8,9,17,5,3,5,27,4,13,23,1,4,6,10,23,6,4,8,18,3,5,12,2,False
13,9,5,15,11,10,12,24,7,23,29,26,1,1,32,29,11,31,17,12,11,22,32,24,26,5,5,32,30,32,24,25,20,26,27,23,12,29,31,26,32,31,19,21,True
14,20,16,2,1,31,30,13,16,14,16,9,11,7,24,10,29,7,13,17,8,25,4,5,1,1,2,20,1,3,21,22,28,26,5,13,30,22,7,28,12,3,28,12,False
11,11,3,4,3,23,3,3,30,2,3,3,4,3,4,1,15,13,4,8,31,4,9,17,5,3,5,27,4,13,23,1,4,6,10,23,6,4,8,18,3,5,12,2,False
21,19,12,6,4,25,20,28,11,26,22,22,31,30,10,12,20,13,25,27,29,23,23,26,21,21,8,22,23,24,18,32,27,18,24,13,26,20,5,10,28,22,25,30,False
15,6,10,31,30,3,10,21,10,24,19,25,22,23,19,24,32,16,19,27,24,13,18,12,5,9,8,16,4,10,19,18,10,14,14,13,13,10,25,8,18,16,23,14,True
12,22,21,18,18,17,16,24,24,8,6,4,12,11,7,6,15,3,10,11,21,18,22,21,21,26,28,14,16,10,14,6,1,1,2,3,1,2,27,8,14,24,18,6,False
8,7,14,8,14,11,13,7,9,9,7,6,7,7,16,9,14,6,8,7,15,1,10,16,16,11,12,15,14,6,17,12,17,9,20,7,17,16,19,16,11,8,30,26,True
18,10,21,22,23,7,16,21,14,21,26,30,29,31,21,22,20,25,21,26,1,10,24,25,26,24,21,19,26,27,13,19,23,14,19,13,25,12,13,18,24,12,13,31,True
14,20,16,2,1,31,30,13,16,14,16,9,11,7,24,10,29,7,13,17,8,25,31,32,32,32,32,28,32,30,31,17,12,9,28,19,5,12,1,5,27,17,17,27,True
1,1,10,7,14,4,7,1,5,9,25,23,9,6,29,28,5,20,1,1,10,8,28,30,31,12,23,30,28,31,31,20,8,6,26,19,2,6,20,24,26,29,9,18,False
6,14,4,14,7,12,11,18,2,12,31,30,25,28,28,29,3,22,8,4,2,28,4,5,1,1,2,20,1,3,21,22,28,26,5,13,30,22,7,28,12,3,28,12,False
26,18,18,28,23,8,19,13,6,28,18,23,18,19,20,24,24,30,29,23,16,17,30,29,29,30,23,21,29,21,26,29,30,18,30,11,22,24,20,32,31,21,26,32,False
5,13,14,20,22,9,7,1,28,11,11,9,17,23,11,6,8,4,7,10,7,18,25,23,18,19,14,18,20,13,12,14,14,14,15,19,15,16,10,1,22,17,32,15,True
3,2,1,25,12,1,6,18,3,31,32,32,32,32,31,32,15,29,15,14,20,24,13,9,5,15,11,10,12,24,7,23,29,26,1,1,32,29,11,31,17,12,11,22,True
16,28,26,10,14,29,23,28,27,3,5,4,8,13,8,4,2,10,6,2,22,3,17,3,12,23,18,2,14,7,4,27,13,18,16,23,14,16,25,20,23,30,27,7,False
14,20,16,2,1,31,30,13,16,14,16,9,11,7,24,10,29,7,13,17,8,25,13,9,5,15,11,10,12,24,7,23,29,26,1,1,32,29,11,31,17,12,11,22,False
16,28,26,10,14,29,23,28,27,3,5,4,8,13,8,4,2,10,6,2,22,3,18,12,5,9,8,16,4,10,19,18,10,14,14,13,13,10,25,8,18,16,23,14,False
20,31,29,27,30,24,23,18,29,16,9,9,6,5,18,12,15,13,16,14,14,5,24,25,26,24,21,19,26,27,13,19,23,14,19,13,25,12,13,18,24,12,13,31,False
6,14,4,14,7,12,11,18,2,12,31,30,25,28,28,29,3,22,8,4,2,28,15,6,10,31,30,3,10,21,10,24,19,25,22,23,19,24,32,16,19,27,24,13,True
2,4,5,16,23,5,1,5,1,4,2,1,3,2,3,2,11,2,2,17,6,11,3,2,1,25,12,1,6,18,3,31,32,32,32,32,31,32,15,29,15,14,20,24,True
17,3,12,23,18,2,14,7,4,27,13,18,16,23,14,16,25,20,23,30,27,7,9,17,5,3,5,27,4,13,23,1,4,6,10,23,6,4,8,18,3,5,12,2,True
5,13,14,20,22,9,7,1,28,11,11,9,17,23,11,6,8,4,7,10,7,18,30,29,29,30,23,21,29,21,26,29,30,18,30,11,22,24,20,32,31,21,26,32,False
32,24,26,5,5,32,30,32,24,25,20,26,27,23,12,29,31,26,32,31,19,21,26,18,18,28,23,8,19,13,6,28,18,23,18,19,20,24,24,30,29,23,16,17,False
28,30,31,12,23,30,28,31,31,20,8,6,26,19,2,6,20,24,26,29,9,18,27,27,25,17,18,26,22,17,19,7,21,14,13,7,27,16,28,10,20,24,3,29,False
29,15,18,13,8,13,26,10,22,29,15,18,23,13,9,24,29,22,30,31,5,16,7,8,5,29,28,6,7,7,7,5,24,26,21,29,23,20,4,27,5,5,4,9,False
22,21,21,26,28,14,16,10,14,6,1,1,2,3,1,2,27,8,14,24,18,6,4,5,1,1,2,20,1,3,21,22,28,26,5,13,30,22,7,28,12,3,28,12,True
1,1,10,7,14,4,7,1,5,9,25,23,9,6,29,28,5,20,1,1,10,8,25,23,18,19,14,18,20,13,12,14,14,14,15,19,15,16,10,1,22,17,32,15,True
23,26,21,21,8,22,23,24,18,32,27,18,24,13,26,20,5,10,28,22,25,30,18,10,21,22,23,7,16,21,14,21,26,30,29,31,21,22,20,25,21,26,1,10,False
11,11,3,4,3,23,3,3,30,2,3,3,4,3,4,1,15,13,4,8,31,4,31,32,32,32,32,28,32,30,31,17,12,9,28,19,5,12,1,5,27,17,17,27,True
20,31,29,27,30,24,23,18,29,16,9,9,6,5,18,12,15,13,16,14,14,5,32,24,26,5,5,32,30,32,24,25,20,26,27,23,12,29,31,26,32,31,19,21,True
7,8,5,29,28,6,7,7,7,5,24,26,21,29,23,20,4,27,5,5,4,9,15,6,10,31,30,3,10,21,10,24,19,25,22,23,19,24,32,16,19,27,24,13,True
2,4,5,16,23,5,1,5,1,4,2,1,3,2,3,2,11,2,2,17,6,11,12,22,21,18,18,17,16,24,24,8,6,4,12,11,7,6,15,3,10,11,21,18,True
10,16,16,11,12,15,14,6,17,12,17,9,20,7,17,16,19,16,11,8,30,26,24,25,26,24,21,19,26,27,13,19,23,14,19,13,25,12,13,18,24,12,13,31,True
5,13,14,20,22,9,7,1,28,11,11,9,17,23,11,6,8,4,7,10,7,18,31,32,32,32,32,28,32,30,31,17,12,9,28,19,5,12,1,5,27,17,17,27,True
8,7,14,8,14,11,13,7,9,9,7,6,7,7,16,9,14,6,8,7,15,1,21,19,12,6,4,25,20,28,11,26,22,22,31,30,10,12,20,13,25,27,29,23,True
27,27,25,17,18,26,22,17,19,7,21,14,13,7,27,16,28,10,20,24,3,29,18,10,21,22,23,7,16,21,14,21,26,30,29,31,21,22,20,25,21,26,1,10,False
17,3,12,23,18,2,14,7,4,27,13,18,16,23,14,16,25,20,23,30,27,7,30,29,29,30,23,21,29,21,26,29,30,18,30,11,22,24,20,32,31,21,26,32,True
6,14,4,14,7,12,11,18,2,12,31,30,25,28,28,29,3,22,8,4,2,28,22,21,21,26,28,14,16,10,14,6,1,1,2,3,1,2,27,8,14,24,18,6,False
26,18,18,28,23,8,19,13,6,28,18,23,18,19,20,24,24,30,29,23,16,17,13,9,5,15,11,10,12,24,7,23,29,26,1,1,32,29,11,31,17,12,11,22,False
9,17,5,3,5,27,4,13,23,1,4,6,10,23,6,4,8,18,3,5,12,2,14,20,16,2,1,31,30,13,16,14,16,9,11,7,24,10,29,7,13,17,8,25,True
16,28,26,10,14,29,23,28,27,3,5,4,8,13,8,4,2,10,6,2,22,3,23,26,21,21,8,22,23,24,18,32,27,18,24,13,26,20,5,10,28,22,25,30,True
4,5,1,1,2,20,1,3,21,22,28,26,5,13,30,22,7,28,12,3,28,12,18,12,5,9,8,16,4,10,19,18,10,14,14,13,13,10,25,8,18,16,23,14,False
3,2,1,25,12,1,6,18,3,31,32,32,32,32,31,32,15,29,15,14,20,24,29,15,18,13,8,13,26,10,22,29,15,18,23,13,9,24,29,22,30,31,5,16,True
18,10,21,22,23,7,16,21,14,21,26,30,29,31,21,22,20,25,21,26,1,10,30,29,29,30,23,21,29,21,26,29,30,18,30,11,22,24,20,32,31,21,26,32,True
10,16,16,11,12,15,14,6,17,12,17,9,20,7,17,16,19,16,11,8,30,26,26,18,18,28,23,8,19,13,6,28,18,23,18,19,20,24,24,30,29,23,16,17,True
2,4,5,16,23,5,1,5,1,4,2,1,3,2,3,2,11,2,2,17,6,11,18,12,5,9,8,16,4,10,19,18,10,14,14,13,13,10,25,8,18,16,23,14,True
16,28,26,10,14,29,23,28,27,3,5,4,8,13,8,4,2,10,6,2,22,3,8,7,14,8,14,11,13,7,9,9,7,6,7,7,16,9,14,6,8,7,15,1,False
6,14,4,14,7,12,11,18,2,12,31,30,25,28,28,29,3,22,8,4,2,28,12,22,21,18,18,17,16,24,24,8,6,4,12,11,7,6,15,3,10,11,21,18,False
27,27,25,17,18,26,22,17,19,7,21,14,13,7,27,16,28,10,20,24,3,29,23,26,21,21,8,22,23,24,18,32,27,18,24,13,26,20,5,10,28,22,25,30,False
17,3,12,23,18,2,14,7,4,27,13,18,16,23,14,16,25,20,23,30,27,7,14,20,16,2,1,31,30,13,16,14,16,9,11,7,24,10,29,7,13,17,8,25,False
1,1,10,7,14,4,7,1,5,9,25,23,9,6,29,28,5,20,1,1,10,8,21,19,12,6,4,25,20,28,11,26,22,22,31,30,10,12,20,13,25,27,29,23,False
7,8,5,29,28,6,7,7,7,5,24,26,21,29,23,20,4,27,5,5,4,9,3,2,1,25,12,1,6,18,3,31,32,32,32,32,31,32,15,29,15,14,20,24,False
15,6,10,31,30,3,10,21,10,24,19,25,22,23,19,24,32,16,19,27,24,13,29,15,18,13,8,13,26,10,22,29,15,18,23,13,9,24,29,22,30,31,5,16,True
11,11,3,4,3,23,3,3,30,2,3,3,4,3,4,1,15,13,4,8,31,4,25,23,18,19,14,18,20,13,12,14,14,14,15,19,15,16,10,1,22,17,32,15,False
9,17,5,3,5,27,4,13,23,1,4,6,10,23,6,4,8,18,3,5,12,2,28,30,31,12,23,30,28,31,31,20,8,6,26,19,2,6,20,24,26,29,9,18,True
13,9,5,15,11,10,12,24,7,23,29,26,1,1,32,29,11,31,17,12,11,22,20,31,29,27,30,24,23,18,29,16,9,9,6,5,18,12,15,13,16,14,14,5,True
22,21,21,26,28,14,16,10,14,6,1,1,2,3,1,2,27,8,14,24,18,6,32,24,26,5,5,32,30,32,24,25,20,26,27,23,12,29,31,26,32,31,19,21,False
21,19,12,6,4,25,20,28,11,26,22,22,31,30,10,12,20,13,25,27,29,23,27,27,25,17,18,26,22,17,19,7,21,14,13,7,27,16,28,10,20,24,3,29,True
7,8,5,29,28,6,7,7,7,5,24,26,21,29,23,20,4,27,5,5,4,9,31,32,32,32,32,28,32,30,31,17,12,9,28,19,5,12,1,5,27,17,17,27,False
13,9,5,15,11,10,12,24,7,23,29,26,1,1,32,29,11,31,17,12,11,22,18,12,5,9,8,16,4,10,19,18,10,14,14,13,13,10,25,8,18,16,23,14,True
15,6,10,31,30,3,10,21,10,24,19,25,22,23,19,24,32,16,19,27,24,13,24,25,26,24,21,19,26,27,13,19,23,14,19,13,25,12,13,18,24,12,13,31,False
2,4,5,16,23,5,1,5,1,4,2,1,3,2,3,2,11,2,2,17,6,11,20,31,29,27,30,24,23,18,29,16,9,9,6,5,18,12,15,13,16,14,14,5,False
5,13,14,20,22,9,7,1,28,11,11,9,17,23,11,6,8,4,7,10,7,18,17,3,12,23,18,2,14,7,4,27,13,18,16,23,14,16,25,20,23,30,27,7,True
8,7,14,8,14,11,13,7,9,9,7,6,7,7,16,9,14,6,8,7,15,1,30,29,29,30,23,21,29,21,26,29,30,18,30,11,22,24,20,32,31,21,26,32,False
12,22,21,18,18,17,16,24,24,8,6,4,12,11,7,6,15,3,10,11,21,18,32,24,26,5,5,32,30,32,24,25,20,26,27,23,12,29,31,26,32,31,19,21,True
1,1,10,7,14,4,7,1,5,9,25,23,9,6,29,28,5,20,1,1,10,8,18,10,21,22,23,7,16,21,14,21,26,30,29,31,21,22,20,25,21,26,1,10,True
3,2,1,25,12,1,6,18,3,31,32,32,32,32,31,32,15,29,15,14,20,24,26,18,18,28,23,8,19,13,6,28,18,23,18,19,20,24,24,30,29,23,16,17,True
10,16,16,11,12,15,14,6,17,12,17,9,20,7,17,16,19,16,11,8,30,26,22,21,21,26,28,14,16,10,14,6,1,1,2,3,1,2,27,8,14,24,18,6,False
25,23,18,19,14,18,20,13,12,14,14,14,15,19,15,16,10,1,22,17,32,15,28,30,31,12,23,30,28,31,31,20,8,6,26,19,2,6,20,24,26,29,9,18,False
4,5,1,1,2,20,1,3,21,22,28,26,5,13,30,22,7,28,12,3,28,12,29,15,18,13,8,13,26,10,22,29,15,18,23,13,9,24,29,22,30,31,5,16,True
11,11,3,4,3,23,3,3,30,2,3,3,4,3,4,1,15,13,4,8,31,4,16,28,26,10,14,29,23,28,27,3,5,4,8,13,8,4,2,10,6,2,22,3,True
15,6,10,31,30,3,10,21,10,24,19,25,22,23,19,24,32,16,19,27,24,13,4,5,1,1,2,20,1,3,21,22,28,26,5,13,30,22,7,28,12,3,28,12,False
8,7,14,8,14,11,13,7,9,9,7,6,7,7,16,9,14,6,8,7,15,1,17,3,12,23,18,2,14,7,4,27,13,18,16,23,14,16,25,20,23,30,27,7,False
1,1,10,7,14,4,7,1,5,9,25,23,9,6,29,28,5,20,1,1,10,8,28,30,31,12,23,30,28,31,31,20,8,6,26,19,2,6,20,24,26,29,9,18,True
31,32,32,32,32,28,32,30,31,17,12,9,28,19,5,12,1,5,27,17,17,27,25,23,18,19,14,18,20,13,12,14,14,14,15,19,15,16,10,1,22,17,32,15,False
16,28,26,10,14,29,23,28,27,3,5,4,8,13,8,4,2,10,6,2,22,3,14,20,16,2,1,31,30,13,16,14,16,9,11,7,24,10,29,7,13,17,8,25,True
12,22,21,18,18,17,16,24,24,8,6,4,12,11,7,6,15,3,10,11,21,18,26,18,18,28,23,8,19,13,6,28,18,23,18,19,20,24,24,30,29,23,16,17,True
22,21,21,26,28,14,16,10,14,6,1,1,2,3,1,2,27,8,14,24,18,6,24,25,26,24,21,19,26,27,13,19,23,14,19,13,25,12,13,18,24,12,13,31,False
18,10,21,22,23,7,16,21,14,21,26,30,29,31,21,22,20,25,21,26,1,10,21,19,12,6,4,25,20,28,11,26,22,22,31,30,10,12,20,13,25,27,29,23,True
23,26,21,21,8,22,23,24,18,32,27,18,24,13,26,20,5,10,28,22,25,30,30,29,29,30,23,21,29,21,26,29,30,18,30,11,22,24,20,32,31,21,26,32,False
2,4,5,16,23,5,1,5,1,4,2,1,3,2,3,2,11,2,2,17,6,11,32,24,26,5,5,32,30,32,24,25,20,26,27,23,12,29,31,26,32,31,19,21,False
9,17,5,3,5,27,4,13,23,1,4,6,10,23,6,4,8,18,3,5,12,2,27,27,25,17,18,26,22,17,19,7,21,14,13,7,27,16,28,10,20,24,3,29,False
11,11,3,4,3,23,3,3,30,2,3,3,4,3,4,1,15,13,4,8,31,4,3,2,1,25,12,1,6,18,3,31,32,32,32,32,31,32,15,29,15,14,20,24,True
6,14,4,14,7,12,11,18,2,12,31,30,25,28,28,29,3,22,8,4,2,28,5,13,14,20,22,9,7,1,28,11,11,9,17,23,11,6,8,4,7,10,7,18,True
10,16,16,11,12,15,14,6,17,12,17,9,20,7,17,16,19,16,11,8,30,26,20,31,29,27,30,24,23,18,29,16,9,9,6,5,18,12,15,13,16,14,14,5,True
7,8,5,29,28,6,7,7,7,5,24,26,21,29,23,20,4,27,5,5,4,9,13,9,5,15,11,10,12,24,7,23,29,26,1,1,32,29,11,31,17,12,11,22,False
18,12,5,9,8,16,4,10,19,18,10,14,14,13,13,10,25,8,18,16,23,14,29,15,18,13,8,13,26,10,22,29,15,18,23,13,9,24,29,22,30,31,5,16,True
7,8,5,29,28,6,7,7,7,5,24,26,21,29,23,20,4,27,5,5,4,9,3,2,1,25,12,1,6,18,3,31,32,32,32,32,31,32,15,29,15,14,20,24,True
10,16,16,11,12,15,14,6,17,12,17,9,20,7,17,16,19,16,11,8,30,26,22,21,21,26,28,14,16,10,14,6,1,1,2,3,1,2,27,8,14,24,18,6,False
21,19,12,6,4,25,20,28,11,26,22,22,31,30,10,12,20,13,25,27,29,23,30,29,29,30,23,21,29,21,26,29,30,18,30,11,22,24,20,32,31,21,26,32,True
16,28,26,10,14,29,23,28,27,3,5,4,8,13,8,4,2,10,6,2,22,3,9,17,5,3,5,27,4,13,23,1,4,6,10,23,6,4,8,18,3,5,12,2,False
15,6,10,31,30,3,10,21,10,24,19,25,22,23,19,24,32,16,19,27,24,13,29,15,18,13,8,13,26,10,22,29,15,18,23,13,9,24,29,22,30,31,5,16,False
2,4,5,16,23,5,1,5,1,4,2,1,3,2,3,2,11,2,2,17,6,11,13,9,5,15,11,10,12,24,7,23,29,26,1,1,32,29,11,31,17,12,11,22,True
17,3,12,23,18,2,14,7,4,27,13,18,16,23,14,16,25,20,23,30,27,7,18,10,21,22,23,7,16,21,14,21,26,30,29,31,21,22,20,25,21,26,1,10,False
5,13,14,20,22,9,7,1,28,11,11,9,17,23,11,6,8,4,7,10,7,18,14,20,16,2,1,31,30,13,16,14,16,9,11,7,24,10,29,7,13,17,8,25,True
18,12,5,9,8,16,4,10,19,18,10,14,14,13,13,10,25,8,18,16,23,14,32,24,26,5,5,32,30,32,24,25,20,26,27,23,12,29,31,26,32,31,19,21,False
1,1,10,7,14,4,7,1,5,9,25,23,9,6,29,28,5,20,1,1,10,8,27,27,25,17,18,26,22,17,19,7,21,14,13,7,27,16,28,10,20,24,3,29,False
28,30,31,12,23,30,28,31,31,20,8,6,26,19,2,6,20,24,26,29,9,18,31,32,32,32,32,28,32,30,31,17,12,9,28,19,5,12,1,5,27,17,17,27,False
24,25,26,24,21,19,26,27,13,19,23,14,19,13,25,12,13,18,24,12,13,31,26,18,18,28,23,8,19,13,6,28,18,23,18,19,20,24,24,30,29,23,16,17,True
12,22,21,18,18,17,16,24,24,8,6,4,12,11,7,6,15,3,10,11,21,18,20,31,29,27,30,24,23,18,29,16,9,9,6,5,18,12,15,13,16,14,14,5,True
11,11,3,4,3,23,3,3,30,2,3,3,4,3,4,1,15,13,4,8,31,4,25,23,18,19,14,18,20,13,12,14,14,14,15,19,15,16,10,1,22,17,32,15,False
8,7,14,8,14,11,13,7,9,9,7,6,7,7,16,9,14,6,8,7,15,1,23,26,21,21,8,22,23,24,18,32,27,18,24,13,26,20,5,10,28,22,25,30,True
6,14,4,14,7,12,11,18,2,12,31,30,25,28,28,29,3,22,8,4,2,28,4,5,1,1,2,20,1,3,21,22,28,26,5,13,30,22,7,28,12,3,28,12,False
2,4,5,16,23,5,1,5,1,4,2,1,3,2,3,2,11,2,2,17,6,11,26,18,18,28,23,8,19,13,6,28,18,23,18,19,20,24,24,30,29,23,16,17,True
21,19,12,6,4,25,20,28,11,26,22,22,31,30,10,12,20,13,25,27,29,23,25,23,18,19,14,18,20,13,12,14,14,14,15,19,15,16,10,1,22,17,32,15,False
7,8,5,29,28,6,7,7,7,5,24,26,21,29,23,20,4,27,5,5,4,9,18,12,5,9,8,16,4,10,19,18,10,14,14,13,13,10,25,8,18,16,23,14,False
12,22,21,18,18,17,16,24,24,8,6,4,12,11,7,6,15,3,10,11,21,18,15,6,10,31,30,3,10,21,10,24,19,25,22,23,19,24,32,16,19,27,24,13,False
24,25,26,24,21,19,26,27,13,19,23,14,19,13,25,12,13,18,24,12,13,31,32,24,26,5,5,32,30,32,24,25,20,26,27,23,12,29,31,26,32,31,19,21,True
5,13,14,20,22,9,7,1,28,11,11,9,17,23,11,6,8,4,7,10,7,18,17,3,12,23,18,2,14,7,4,27,13,18,16,23,14,16,25,20,23,30,27,7,True
18,10,21,22,23,7,16,21,14,21,26,30,29,31,21,22,20,25,21,26,1,10,23,26,21,21,8,22,23,24,18,32,27,18,24,13,26,20,5,10,28,22,25,30,False
28,30,31,12,23,30,28,31,31,20,8,6,26,19,2,6,20,24,26,29,9,18,30,29,29,30,23,21,29,21,26,29,30,18,30,11,22,24,20,32,31,21,26,32,True
16,28,26,10,14,29,23,28,27,3,5,4,8,13,8,4,2,10,6,2,22,3,14,20,16,2,1,31,30,13,16,14,16,9,11,7,24,10,29,7,13,17,8,25,False
6,14,4,14,7,12,11,18,2,12,31,30,25,28,28,29,3,22,8,4,2,28,3,2,1,25,12,1,6,18,3,31,32,32,32,32,31,32,15,29,15,14,20,24,True
22,21,21,26,28,14,16,10,14,6,1,1,2,3,1,2,27,8,14,24,18,6,20,31,29,27,30,24,23,18,29,16,9,9,6,5,18,12,15,13,16,14,14,5,False
11,11,3,4,3,23,3,3,30,2,3,3,4,3,4,1,15,13,4,8,31,4,27,27,25,17,18,26,22,17,19,7,21,14,13,7,27,16,28,10,20,24,3,29,True
9,17,5,3,5,27,4,13,23,1,4,6,10,23,6,4,8,18,3,5,12,2,31,32,32,32,32,28,32,30,31,17,12,9,28,19,5,12,1,5,27,17,17,27,True
13,9,5,15,11,10,12,24,7,23,29,26,1,1,32,29,11,31,17,12,11,22,29,15,18,13,8,13,26,10,22,29,15,18,23,13,9,24,29,22,30,31,5,16,False
4,5,1,1,2,20,1,3,21,22,28,26,5,13,30,22,7,28,12,3,28,12,10,16,16,11,12,15,14,6,17,12,17,9,20,7,17,16,19,16,11,8,30,26,True
1,1,10,7,14,4,7,1,5,9,25,23,9,6,29,28,5,20,1,1,10,8,8,7,14,8,14,11,13,7,9,9,7,6,7,7,16,9,14,6,8,7,15,1,True
12,22,21,18,18,17,16,24,24,8,6,4,12,11,7,6,15,3,10,11,21,18,29,15,18,13,8,13,26,10,22,29,15,18,23,13,9,24,29,22,30,31,5,16,True
17,3,12,23,18,2,14,7,4,27,13,18,16,23,14,16,25,20,23,30,27,7,31,32,32,32,32,28,32,30,31,17,12,9,28,19,5,12,1,5,27,17,17,27,False
2,4,5,16,23,5,1,5,1,4,2,1,3,2,3,2,11,2,2,17,6,11,10,16,16,11,12,15,14,6,17,12,17,9,20,7,17,16,19,16,11,8,30,26,True
9,17,5,3,5,27,4,13,23,1,4,6,10,23,6,4,8,18,3,5,12,2,21,19,12,6,4,25,20,28,11,26,22,22,31,30,10,12,20,13,25,27,29,23,True
5,13,14,20,22,9,7,1,28,11,11,9,17,23,11,6,8,4,7,10,7,18,16,28,26,10,14,29,23,28,27,3,5,4,8,13,8,4,2,10,6,2,22,3,True
24,25,26,24,21,19,26,27,13,19,23,14,19,13,25,12,13,18,24,12,13,31,4,5,1,1,2,20,1,3,21,22,28,26,5,13,30,22,7,28,12,3,28,12,False
22,21,21,26,28,14,16,10,14,6,1,1,2,3,1,2,27,8,14,24,18,6,15,6,10,31,30,3,10,21,10,24,19,25,22,23,19,24,32,16,19,27,24,13,False
8,7,14,8,14,11,13,7,9,9,7,6,7,7,16,9,14,6,8,7,15,1,18,10,21,22,23,7,16,21,14,21,26,30,29,31,21,22,20,25,21,26,1,10,True
27,27,25,17,18,26,22,17,19,7,21,14,13,7,27,16,28,10,20,24,3,29,30,29,29,30,23,21,29,21,26,29,30,18,30,11,22,24,20,32,31,21,26,32,True
1,1,10,7,14,4,7,1,5,9,25,23,9,6,29,28,5,20,1,1,10,8,11,11,3,4,3,23,3,3,30,2,3,3,4,3,4,1,15,13,4,8,31,4,False
