favorite_Score,favorite_OffensiveYards,favorite_OffensiveYardsPerPlay,favorite_RushingYards,favorite_RushingYardsPerAttempt,favorite_PassingYards,favorite_PassingYardsPerAttempt,favorite_PassingInterceptionPercentage,favorite_TimesSackedPercentage,favorite_OpponentScore,favorite_OpponentOffensiveYards,favorite_OpponentOffensiveYardsPerPlay,favorite_OpponentRushingYards,favorite_OpponentRushingYardsPerAttempt,favorite_OpponentPassingYards,favorite_OpponentPassingYardsPerAttempt,favorite_OpponentPassingInterceptionPercentage,favorite_OpponentTimesSackedPercentage,favorite_PointDifferential,favorite_TurnoverDifferential,favorite_PenaltyYardDifferential,favorite_TimeOfPossession,underdog_Score,underdog_OffensiveYards,underdog_OffensiveYardsPerPlay,underdog_RushingYards,underdog_RushingYardsPerAttempt,underdog_PassingYards,underdog_PassingYardsPerAttempt,underdog_PassingInterceptionPercentage,underdog_TimesSackedPercentage,underdog_OpponentScore,underdog_OpponentOffensiveYards,underdog_OpponentOffensiveYardsPerPlay,underdog_OpponentRushingYards,underdog_OpponentRushingYardsPerAttempt,underdog_OpponentPassingYards,underdog_OpponentPassingYardsPerAttempt,underdog_OpponentPassingInterceptionPercentage,underdog_OpponentTimesSackedPercentage,underdog_PointDifferential,underdog_TurnoverDifferential,underdog_PenaltyYardDifferential,underdog_TimeOfPossession,did_cover
10,9,6,24,25,5,2,10,21,2,5,6,18,28,5,3,1,3,2,4,6,10,29,23,20,10,8,26,26,32,18,18,8,6,9,7,10,12,16,19,25,29,17,22,True
14,12,16,1,4,30,23,4,16,11,14,6,14,17,17,6,23,11,13,5,5,7,18,15,14,3,4,27,16,29,24,27,28,32,22,28,28,32,20,28,24,31,12,6,True
12,14,7,11,17,14,4,5,27,1,2,1,1,1,12,1,9,6,3,2,29,8,30,21,25,21,29,16,21,24,17,14,6,4,7,3,8,20,28,7,22,29,7,11,False
11,6,7,28,19,3,13,19,3,7,4,13,16,17,4,10,32,11,7,23,28,9,31,29,25,20,19,29,21,26,22,13,22,18,27,12,18,27,5,19,23,15,13,28,False
2,1,1,15,19,2,1,10,18,10,1,2,4,5,1,1,10,2,5,23,11,4,1,8,4,9,10,11,2,1,7,8,25,25,11,13,30,23,3,19,1,1,21,26,False
23,28,28,31,29,19,26,25,14,25,27,22,21,13,27,23,29,16,28,27,27,27,26,31,30,32,10,31,31,22,27,30,29,22,30,20,23,26,11,17,31,22,15,31,True
20,19,7,8,6,17,10,2,13,9,17,18,28,28,7,7,7,29,15,5,25,12,26,26,30,25,29,21,30,12,11,12,19,17,17,22,19,10,22,8,19,10,8,17,False
17,27,16,17,10,25,15,18,11,15,26,13,20,7,29,15,17,15,16,19,19,32,3,2,2,5,1,9,7,9,27,21,12,13,15,13,14,15,2,10,9,5,32,15,True
7,7,7,16,15,6,7,19,9,31,23,28,12,17,26,28,5,13,21,13,30,13,7,5,4,6,6,10,5,31,2,17,7,6,8,13,9,7,15,4,11,18,9,3,False
26,31,30,32,10,31,31,22,27,30,29,22,30,20,23,26,11,17,31,22,15,31,20,19,7,8,6,17,10,2,13,9,17,18,28,28,7,7,7,29,15,5,25,12,False
22,20,20,27,32,13,20,22,6,24,15,25,19,20,14,20,14,27,26,25,14,16,30,21,25,21,29,16,21,24,17,14,6,4,7,3,8,20,28,7,22,29,7,11,False
7,7,7,16,15,6,7,19,9,31,23,28,12,17,26,28,5,13,21,13,30,13,18,15,14,3,4,27,16,29,24,27,28,32,22,28,28,32,20,28,24,31,12,6,False
15,17,20,23,19,12,29,12,5,19,21,22,24,22,16,23,17,5,17,11,26,19,25,18,14,30,15,8,16,17,23,21,31,29,26,25,31,28,23,29,27,19,3,23,True
14,12,16,1,4,30,23,4,16,11,14,6,14,17,17,6,23,11,13,5,5,7,28,25,20,18,10,24,26,27,14,28,24,18,32,32,3,15,26,19,30,32,18,25,False
1,8,4,9,10,11,2,1,7,8,25,25,11,13,30,23,3,19,1,1,21,26,29,23,20,10,8,26,26,32,18,18,8,6,9,7,10,12,16,19,25,29,17,22,True
