schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,,,,,
9/26/2010,2010,3,FALSE,TB,13,38,PIT,PIT,-3,33,Raymond,James,Stadium,FALSE,90,7,62,,,,
9/27/2010,2010,3,FALSE,CHI,20,17,GB,GB,-3,46.5,Soldier,Field,FALSE,56,6,75,,,,,
10/3/2010,2010,4,FALSE,ATL,16,14,SF,ATL,-7,42.5,Georgia,Dome,FALSE,72,0,DOME,,,,,
10/3/2010,2010,4,FALSE,BUF,14,38,NYJ,NYJ,-6,37,Ralph,Wilson,Stadium,FALSE,51,1,66,Rain,,,
10/3/2010,2010,4,FALSE,CLE,23,20,CIN,CIN,-2.5,37,FirstEnergy,Stadium,FALSE,52,10,,,,,,
10/3/2010,2010,4,FALSE,GB,28,26,DET,GB,-14.5,46,Lambeau,Field,FALSE,52,8,61,,,,,
10/3/2010,2010,4,FALSE,JAX,31,28,IND,IND,-7,46,EverBank,Field,FALSE,81,1,30,,,,,
10/3/2010,2010,4,FALSE,NO,16,14,CAR,NO,-12.5,44,Louisiana,Superdome,FALSE,72,0,DOME,,,,,
10/3/2010,2010,4,FALSE,NYG,17,3,CHI,NYG,-3.5,44,MetLife,Stadium,FALSE,59,1,52,,,,,
10/3/2010,2010,4,FALSE,LVR,24,31,HOU,HOU,-3.5,44,LVRland,Coliseum,FALSE,71,1,53,,,,,
10/3/2010,2010,4,FALSE,PHI,12,17,WAS,PHI,-5,43.5,Lincoln,Financial,Field,FALSE,63,1,57,,,,
10/3/2010,2010,4,FALSE,PIT,14,17,BAL,PIT,-2.5,34.5,Heinz,Field,FALSE,52,5,86,,,,,
10/3/2010,2010,4,FALSE,LAC,41,10,ARI,LAC,-9.5,46.5,Qualcomm,Stadium,FALSE,72,8,67,,,,,
10/3/2010,2010,4,FALSE,LAR,20,3,SEA,SEA,-2,40,Edward,Jones,Dome,FALSE,72,0,DOME,,,,
10/3/2010,2010,4,FALSE,TEN,20,26,DEN,TEN,-6.5,43.5,Nissan,Stadium,FALSE,54,1,67,,,,,
10/4/2010,2010,4,FALSE,MIA,14,41,NE,NE,-1,48,Sun,Life,Stadium,FALSE,81,1,60,,,,
10/10/2010,2010,5,FALSE,ARI,30,20,NO,NO,-7,45.5,University,of,Phoenix,Stadium,FALSE,72,0,DOME,,,
10/10/2010,2010,5,FALSE,BAL,31,17,DEN,BAL,-8,39.5,M&T,Bank,Stadium,FALSE,70,6,40,,,,
10/10/2010,2010,5,FALSE,BUF,26,36,JAX,BUF,-2.5,41.5,Ralph,Wilson,Stadium,FALSE,63,1,52,,,,
10/10/2010,2010,5,FALSE,CAR,6,23,CHI,CAR,-3,33,Bank,of,America,Stadium,FALSE,81,2,29,,,
10/10/2010,2010,5,FALSE,CIN,21,24,TB,CIN,-7,38.5,Paul,Brown,Stadium,FALSE,81,2,32,,,,
10/10/2010,2010,5,FALSE,CLE,10,20,ATL,ATL,-3,41.5,FirstEnergy,Stadium,FALSE,66,9,,,,,,
10/10/2010,2010,5,FALSE,DAL,27,34,TEN,DAL,-7,43,Cowboys,Stadium,FALSE,72,0,DOME,,,,,
10/10/2010,2010,5,FALSE,DET,44,6,LAR,DET,-3,42.5,Ford,Field,FALSE,72,0,DOME,,,,,
10/10/2010,2010,5,FALSE,HOU,10,34,NYG,HOU,-3,48.5,Reliant,Stadium,FALSE,79,6,DOME,(Open,Roof),,,
10/10/2010,2010,5,FALSE,IND,19,9,KC,IND,-7.5,46.5,Lucas,Oil,Stadium,FALSE,72,0,DOME,,,,
10/10/2010,2010,5,FALSE,LVR,35,27,LAC,LAC,-7,44,LVRland,Coliseum,FALSE,71,0,,,,,,
10/10/2010,2010,5,FALSE,SF,24,27,PHI,SF,-3,38.5,Candlestick,Park,FALSE,75,1,51,,,,,
10/10/2010,2010,5,FALSE,WAS,16,13,GB,GB,-3,45.5,FedEx,Field,FALSE,72,0,46,,,,,
10/11/2010,2010,5,FALSE,NYJ,29,20,MIN,NYJ,-4.5,40,MetLife,Stadium,FALSE,72,1,56,,,,,
10/17/2010,2010,6,FALSE,CHI,20,23,SEA,CHI,-6,38,Soldier,Field,FALSE,61,9,49,,,,,
10/17/2010,2010,6,FALSE,DEN,20,24,NYJ,NYJ,-3.5,43,Sports,Authority,Field,at,Mile,High,FALSE,73,4,13,
10/17/2010,2010,6,FALSE,GB,20,23,MIA,GB,-3,44,Lambeau,Field,FALSE,57,1,45,,,,,
10/17/2010,2010,6,FALSE,HOU,35,31,KC,HOU,-4.5,46,Reliant,Stadium,FALSE,78,3,DOME,(Open,Roof),,,
10/17/2010,2010,6,FALSE,MIN,24,21,DAL,MIN,-1.5,44,Mall,of,America,Field,FALSE,72,0,DOME,,,
10/17/2010,2010,6,FALSE,NE,23,20,BAL,NE,-3,44.5,Gillette,Stadium,FALSE,57,14,,,,,,
10/17/2010,2010,6,FALSE,NYG,28,20,DET,NYG,-10,45.5,MetLife,Stadium,FALSE,63,9,44,,,,,
10/17/2010,2010,6,FALSE,PHI,31,17,ATL,PHI,-1.5,43,Lincoln,Financial,Field,FALSE,66,1,45,,,,
10/17/2010,2010,6,FALSE,PIT,28,10,CLE,PIT,-14,37.5,Heinz,Field,FALSE,61,1,48,,,,,
10/17/2010,2010,6,FALSE,SF,17,9,LVR,SF,-7,41,Candlestick,Park,FALSE,59,1,72,,,,,
10/17/2010,2010,6,FALSE,LAR,20,17,LAC,LAC,-8.5,45,Edward,Jones,Dome,FALSE,72,0,DOME,,,,
10/17/2010,2010,6,FALSE,TB,6,31,NO,NO,-5.5,44,Raymond,James,Stadium,FALSE,81,9,48,,,,
10/17/2010,2010,6,FALSE,WAS,24,27,IND,IND,-3,45,FedEx,Field,FALSE,70,7,46,,,,,
10/18/2010,2010,6,FALSE,JAX,3,30,TEN,TEN,-3,43.5,EverBank,Field,FALSE,75,8,,,,,,
10/24/2010,2010,7,FALSE,ATL,39,32,CIN,ATL,-3.5,43,Georgia,Dome,FALSE,72,0,DOME,,,,,
10/24/2010,2010,7,FALSE,BAL,37,34,BUF,BAL,-12.5,40,M&T,Bank,Stadium,FALSE,72,5,52,,,,
